player,round,hole,strokes,par,yds,score,tourney
"Shuey, Nathan",1,16,3,4,144,-1,us open
"Shuey, Nathan",1,17,5,4,235,1,us open
"Shuey, Nathan",1,18,4,3,95,1,us open
"Chavez, Cesar",1,1,4,4,235,0,us open
"Chavez, Cesar",1,2,4,4,215,0,us open
"Chavez, Cesar",1,3,3,4,289,-1,us open
"Chavez, Cesar",1,4,7,5,301,2,us open
"Chavez, Cesar",1,5,2,3,100,-1,us open
"Chavez, Cesar",1,6,5,5,246,0,us open
"Chavez, Cesar",1,7,5,4,200,1,us open
"Chavez, Cesar",1,8,4,3,135,1,us open
"Chavez, Cesar",1,9,4,4,267,0,us open
"Chavez, Cesar",1,10,4,4,225,0,us open
"Chavez, Cesar",1,11,5,5,259,0,us open
"Chavez, Cesar",1,12,2,3,96,-1,us open
"Chavez, Cesar",1,13,3,4,162,-1,us open
"Chavez, Cesar",1,14,4,5,250,-1,us open
"Chavez, Cesar",1,15,4,4,230,0,us open
"Chavez, Cesar",1,16,4,4,144,0,us open
"Chavez, Cesar",1,17,4,4,235,0,us open
"Chavez, Cesar",1,18,2,3,95,-1,us open
"Morgan, Kareem",1,1,5,4,235,1,us open
"Morgan, Kareem",1,2,3,4,215,-1,us open
"Morgan, Kareem",1,3,3,4,289,-1,us open
"Morgan, Kareem",1,4,5,5,301,0,us open
"Morgan, Kareem",1,5,3,3,100,0,us open
"Morgan, Kareem",1,6,4,5,246,-1,us open
"Morgan, Kareem",1,7,4,4,200,0,us open
"Morgan, Kareem",1,8,4,3,135,1,us open
"Morgan, Kareem",1,9,5,4,267,1,us open
"Morgan, Kareem",1,10,5,4,225,1,us open
"Morgan, Kareem",1,11,5,5,259,0,us open
"Morgan, Kareem",1,12,3,3,96,0,us open
"Morgan, Kareem",1,13,3,4,162,-1,us open
"Morgan, Kareem",1,14,4,5,250,-1,us open
"Morgan, Kareem",1,15,5,4,230,1,us open
"Morgan, Kareem",1,16,3,4,144,-1,us open
"Morgan, Kareem",1,17,5,4,235,1,us open
"Morgan, Kareem",1,18,3,3,95,0,us open
"Mancino, David",1,1,5,4,235,1,us open
"Mancino, David",1,2,4,4,215,0,us open
"Mancino, David",1,3,2,4,289,-2,us open
"Mancino, David",1,4,5,5,301,0,us open
"Mancino, David",1,5,2,3,100,-1,us open
"Mancino, David",1,6,6,5,246,1,us open
"Mancino, David",1,7,4,4,200,0,us open
"Mancino, David",1,8,4,3,135,1,us open
"Mancino, David",1,9,4,4,267,0,us open
"Mancino, David",1,10,3,4,225,-1,us open
"Mancino, David",1,11,4,5,259,-1,us open
"Mancino, David",1,12,3,3,96,0,us open
"Mancino, David",1,13,3,4,162,-1,us open
"Mancino, David",1,14,3,5,250,-2,us open
"Mancino, David",1,15,5,4,230,1,us open
"Mancino, David",1,16,4,4,144,0,us open
"Mancino, David",1,17,4,4,235,0,us open
"Mancino, David",1,18,3,3,95,0,us open
"Khatib, Sharif",1,1,5,4,235,1,us open
"Khatib, Sharif",1,2,4,4,215,0,us open
"Khatib, Sharif",1,3,3,4,289,-1,us open
"Khatib, Sharif",1,4,6,5,301,1,us open
"Khatib, Sharif",1,5,3,3,100,0,us open
"Khatib, Sharif",1,6,4,5,246,-1,us open
"Khatib, Sharif",1,7,5,4,200,1,us open
"Khatib, Sharif",1,8,4,3,135,1,us open
"Khatib, Sharif",1,9,5,4,267,1,us open
"Khatib, Sharif",1,10,5,4,225,1,us open
"Khatib, Sharif",1,11,4,5,259,-1,us open
"Khatib, Sharif",1,12,3,3,96,0,us open
"Khatib, Sharif",1,13,3,4,162,-1,us open
"Khatib, Sharif",1,14,5,5,250,0,us open
"Khatib, Sharif",1,15,5,4,230,1,us open
"Khatib, Sharif",1,16,4,4,144,0,us open
"Khatib, Sharif",1,17,4,4,235,0,us open
"Khatib, Sharif",1,18,3,3,95,0,us open
"Cohmanschi, Robert",1,1,4,4,235,0,us open
"Cohmanschi, Robert",1,2,4,4,215,0,us open
"Cohmanschi, Robert",1,3,3,4,289,-1,us open
"Cohmanschi, Robert",1,4,4,5,301,-1,us open
"Cohmanschi, Robert",1,5,4,3,100,1,us open
"Cohmanschi, Robert",1,6,4,5,246,-1,us open
"Cohmanschi, Robert",1,7,5,4,200,1,us open
"Cohmanschi, Robert",1,8,4,3,135,1,us open
"Cohmanschi, Robert",1,9,5,4,267,1,us open
"Cohmanschi, Robert",1,10,4,4,225,0,us open
"Cohmanschi, Robert",1,11,5,5,259,0,us open
"Cohmanschi, Robert",1,12,4,3,96,1,us open
"Cohmanschi, Robert",1,13,3,4,162,-1,us open
"Cohmanschi, Robert",1,14,4,5,250,-1,us open
"Cohmanschi, Robert",1,15,4,4,230,0,us open
"Cohmanschi, Robert",1,16,3,4,144,-1,us open
"Cohmanschi, Robert",1,17,4,4,235,0,us open
"Cohmanschi, Robert",1,18,2,3,95,-1,us open
"Laudani, Nicolas",1,1,5,4,235,1,us open
"Laudani, Nicolas",1,2,3,4,215,-1,us open
"Laudani, Nicolas",1,3,4,4,289,0,us open
