player,round,hole,strokes,par,score
"Ayala, Roberto Fabian",1,6,4,4,0
"Ayala, Roberto Fabian",1,7,4,3,1
"Ayala, Roberto Fabian",1,8,4,4,0
"Ayala, Roberto Fabian",1,9,4,5,-1
"Ayala, Roberto Fabian",1,10,4,4,0
"Ayala, Roberto Fabian",1,11,6,4,2
"Ayala, Roberto Fabian",1,12,3,3,0
"Ayala, Roberto Fabian",1,13,3,4,-1
"Ayala, Roberto Fabian",1,14,4,5,-1
"Ayala, Roberto Fabian",1,15,3,4,-1
"Ayala, Roberto Fabian",1,16,5,4,1
"Ayala, Roberto Fabian",1,17,6,5,1
"Ayala, Roberto Fabian",1,18,2,3,-1
"Valdez, Pier",1,1,4,5,-1
"Valdez, Pier",1,2,4,4,0
"Valdez, Pier",1,3,3,3,0
"Valdez, Pier",1,4,4,4,0
"Valdez, Pier",1,5,4,4,0
"Valdez, Pier",1,6,3,4,-1
"Valdez, Pier",1,7,3,3,0
"Valdez, Pier",1,8,4,4,0
"Valdez, Pier",1,9,5,5,0
"Valdez, Pier",1,10,4,4,0
"Valdez, Pier",1,11,4,4,0
"Valdez, Pier",1,12,3,3,0
"Valdez, Pier",1,13,3,4,-1
"Valdez, Pier",1,14,6,5,1
"Valdez, Pier",1,15,5,4,1
"Valdez, Pier",1,16,4,4,0
"Valdez, Pier",1,17,5,5,0
"Valdez, Pier",1,18,2,3,-1
"Yepez, Julio",1,1,4,5,-1
"Yepez, Julio",1,2,4,4,0
"Yepez, Julio",1,3,4,3,1
"Yepez, Julio",1,4,4,4,0
"Yepez, Julio",1,5,4,4,0
"Yepez, Julio",1,6,4,4,0
"Yepez, Julio",1,7,3,3,0
"Yepez, Julio",1,8,4,4,0
"Yepez, Julio",1,9,6,5,1
"Yepez, Julio",1,10,3,4,-1
"Yepez, Julio",1,11,4,4,0
"Yepez, Julio",1,12,3,3,0
"Yepez, Julio",1,13,4,4,0
"Yepez, Julio",1,14,5,5,0
"Yepez, Julio",1,15,3,4,-1
"Yepez, Julio",1,16,6,4,2
"Yepez, Julio",1,17,4,5,-1
"Yepez, Julio",1,18,2,3,-1
"Wojtyla, Bart",1,1,4,5,-1
